date,delay,distance,origin,destination,carrier
1011300,-5,667,MCO,RIC,B6
1011309,-6,899,FLL,DCA,B6
1011750,-3,228,JFK,IAD,B6
1011257,3,899,DCA,FLL,B6
1010925,-3,899,FLL,DCA,B6
1010621,-5,474,BOS,RIC,B6
1011710,-7,899,DCA,FLL,B6
1011950,9,899,FLL,DCA,B6
1010600,-3,399,DCA,BOS,B6
1011945,-3,228,IAD,JFK,B6
1011334,-10,1851,DCA,SLC,DL
1011100,-1,547,DCA,ATL,DL
1010700,3,547,DCA,ATL,DL
1012012,-5,405,DTW,DCA,DL
1011737,-1,534,IAD,ATL,DL
1012155,2,534,ATL,IAD,DL
1010900,-6,547,DCA,ATL,DL
1011910,-2,481,ATL,RIC,DL
1011334,4,534,ATL,IAD,DL
1010800,-6,547,DCA,ATL,DL
1011520,-2,405,DTW,DCA,DL
1011402,22,481,ATL,RIC,DL
1011612,29,481,RIC,ATL,DL
1010700,1,516,ORF,ATL,DL
1011515,0,534,ATL,IAD,DL
1010937,-3,516,ATL,ORF,DL
1011145,-8,516,ORF,ATL,DL
1010615,-6,405,DCA,DTW,DL
1011123,-3,534,IAD,ATL,DL
1011520,-3,547,ATL,DCA,DL
1010835,-6,405,DTW,DCA,DL
1011355,-4,612,DCA,ORD,AA
1011020,-7,612,ORD,DCA,AA
1010600,5,919,DCA,MIA,AA
1012115,-2,919,MIA,DCA,AA
1010600,-6,481,RIC,ATL,DL
1011030,-4,931,DCA,MSP,DL
1011550,-7,481,ATL,RIC,DL
1011721,-6,405,DCA,DTW,DL
1010835,-7,931,DCA,MSP,DL
1011405,7,516,ATL,ORF,DL
1011800,-6,547,DCA,ATL,DL
1011205,-3,516,ATL,ORF,DL
1011419,-1,516,ORF,ATL,DL
1011545,0,931,MSP,DCA,DL
1012049,-5,357,ATL,ROA,DL
1011320,19,547,ATL,DCA,DL
1011225,30,405,DTW,DCA,DL
1011659,-1,1851,SLC,DCA,DL
1011210,-2,481,ATL,RIC,DL
1011415,0,481,RIC,ATL,DL
1010920,4,547,ATL,DCA,DL
1011006,-2,481,ATL,RIC,DL
1011222,-4,481,RIC,ATL,DL
1011050,-3,481,RIC,ATL,DL
1011609,64,759,MCO,DCA,B6
1012040,-9,759,DCA,MCO,B6
1010655,-4,759,MCO,DCA,B6
1011100,-2,547,ATL,DCA,DL
1011200,-3,547,DCA,ATL,DL
1010905,3,534,ATL,IAD,DL
1010935,-8,634,DCA,JAX,B6
1010900,-8,634,JAX,DCA,B6
1010620,-1,931,DCA,MSP,DL
1011920,0,547,ATL,DCA,DL
1011500,-6,547,DCA,ATL,DL
1011820,-3,547,ATL,DCA,DL
1011930,21,516,ATL,ORF,DL
1010930,-7,405,DCA,DTW,DL
1011930,-5,457,ATL,CHO,DL
1011620,-2,547,ATL,DCA,DL
1011310,-3,931,MSP,DCA,DL
1012059,-9,413,IAD,BOS,B6
1011830,-6,413,BOS,IAD,B6
1010850,-12,474,RIC,BOS,B6
1012142,30,228,JFK,IAD,B6
1011859,58,899,DCA,FLL,B6
1011609,-1,899,FLL,DCA,B6
1010600,-8,399,BOS,DCA,B6
1011720,1,383,IAD,DTW,EV
1011151,-4,1136,OKC,IAD,EV
1011315,-7,717,ORD,ORF,EV
1011729,-3,1201,ORF,IAH,EV
1010814,-7,534,IAD,ATL,EV
1010630,-1,100,RIC,IAD,EV
1011220,-5,515,IAD,SAV,EV
1011635,-4,642,ORD,RIC,EV
1010540,16,534,ATL,IAD,EV
1012157,-11,288,IAD,ROC,EV
1011920,-2,157,ORF,IAD,EV
1011309,-3,1201,IAH,ORF,EV
1011708,-4,299,IAD,CMH,EV
1011417,-7,630,JAX,IAD,EV
1011047,-6,100,RIC,IAD,EV
1011930,3,642,ORD,RIC,EV
1012159,0,277,EWR,RIC,EV
1011226,-1,419,IAD,TYS,EV
1011936,-7,419,TYS,IAD,EV
1011231,-6,310,CLE,DCA,EV
1011350,-5,717,ORF,ORD,EV
1011655,-4,100,IAD,RIC,EV
1011434,-9,419,TYS,IAD,EV
1011425,-4,476,IND,IAD,EV
1011221,142,696,IAD,STL,EV
1011910,-5,277,EWR,RIC,EV
1011452,-4,199,DCA,EWR,EV
1011220,-3,157,IAD,ORF,EV
1011653,-12,717,ORF,ORD,EV
1011749,1,199,EWR,DCA,EV
1011018,-22,310,DCA,CLE,EV
1012107,16,589,ORD,IAD,EV
1011221,-1,476,IAD,IND,EV
1010711,-3,277,RIC,EWR,EV
1011723,-4,239,IAD,GSO,EV
1010603,-5,288,CLE,IAD,EV
1010949,-9,326,IAD,BDL,EV
1011047,-7,277,RIC,EWR,EV
1011300,-8,542,BNA,IAD,EV
1011949,133,299,CMH,IAD,EV
1012155,-5,1190,IAD,IAH,EV
1010720,-7,642,ORD,RIC,EV
1012158,-1105,476,IAD,IND,EV
1010810,-10,531,ROA,ORD,EV
1011811,-12,642,RIC,ORD,EV
1011250,-1,1157,IAH,RIC,EV
1011700,-4,926,IAD,MCI,EV
1011423,3,515,SAV,IAD,EV
1010948,-3,476,IND,IAD,EV
1011357,-4,451,SDF,IAD,EV
1011700,-1,501,IAD,GRR,EV
1011705,-4,419,IAD,TYS,EV
1011655,-8,451,IAD,SDF,EV
1012150,7,419,IAD,TYS,EV
1011656,38,542,IAD,BNA,EV
1010600,-7,419,TYS,IAD,EV
1011930,-3,199,DCA,EWR,EV
1010810,-9,481,RIC,ATL,EV
1011454,2,508,ATL,PHF,EV
1011708,-5,508,PHF,ATL,EV
1011230,-8,456,RIC,DTW,EV
1011223,-5,457,CHO,ATL,EV
1011325,-3,534,IAD,ATL,EV
1010920,-6,292,RIC,LGA,EV
1011303,0,908,IAD,MSP,EV
1010900,1,908,MSP,IAD,EV
1011520,-4,456,DTW,RIC,EV
1010905,-3,357,ATL,ROA,EV
1011050,-6,357,ROA,ATL,EV
1011000,-6,292,LGA,RIC,EV
1012054,-5,508,ATL,PHF,EV
1011108,4,508,PHF,ATL,EV
1011619,-3,516,ORF,ATL,EV
1011550,47,970,MSP,RIC,EV
1010830,-5,970,RIC,MSP,EV
1010940,-1,534,ATL,IAD,EV
1011209,-6,357,ATL,ROA,EV
1012040,-3,481,ATL,RIC,EV
1012159,-5,401,IAD,CAE,EV
1012205,58,326,IAD,BDL,EV
1011908,-9,372,PVD,IAD,EV
1010632,-5,589,ORD,IAD,EV
1011925,4,229,LGA,IAD,EV
1011010,3,288,CLE,IAD,EV
1011220,-8,372,IAD,PVD,EV
1011755,-3,357,ROA,ATL,EV
1011339,-2,508,ATL,PHF,EV
1011555,-6,508,PHF,ATL,EV
1011011,7,212,EWR,IAD,EV
1011934,-5,326,BDL,IAD,EV
1010816,-9,288,IAD,CLE,EV
1011708,-5,401,IAD,CAE,EV
1011246,-4,182,IAD,PIT,EV
1012150,-3,534,IAD,ATL,EV
1010550,-7,326,BDL,IAD,EV
1010822,-1,182,IAD,PIT,EV
1011718,-4,326,IAD,BDL,EV
1011443,-6,182,PIT,IAD,EV
1011238,-10,401,IAD,CAE,EV
1010603,2,401,CAE,IAD,EV
1011720,-4,229,IAD,LGA,EV
1011411,-9,372,PVD,IAD,EV
1011912,-14,401,CAE,IAD,EV
1011440,41,401,CAE,IAD,EV
1011705,-7,372,IAD,PVD,EV
1012203,-2,229,IAD,LGA,EV
1011915,-12,283,BUF,IAD,EV
1012151,-4,100,IAD,RIC,EV
1010750,-7,642,RIC,ORD,EV
1011709,46,1027,IAD,TUL,EV
1011436,-6,368,DAY,IAD,EV
1011704,-3,283,IAD,BUF,EV
1010803,-8,926,MCI,IAD,EV
1011235,-7,630,IAD,JAX,EV
1011739,5,908,MSP,IAD,EV
1011430,74,322,CLT,IAD,EV
1010608,0,642,RIC,ORD,EV
1010956,-8,296,SYR,IAD,EV
1010939,0,630,JAX,IAD,EV
1011012,-14,239,GSO,IAD,EV
1011447,-12,239,GSO,IAD,EV
1011718,12,1136,IAD,OKC,EV
1011930,-11,239,GSO,IAD,EV
1012157,-8,515,IAD,SAV,EV
1011222,2,1027,TUL,IAD,EV
1010820,9,239,IAD,GSO,EV
1011235,-3,326,IAD,BDL,EV
1011229,-3,212,IAD,EWR,EV
1011529,-1,212,EWR,IAD,EV
1011740,25,157,IAD,ORF,EV
1011425,-7,326,BDL,IAD,EV
1011715,-4,908,IAD,MSP,EV
1010715,-10,388,IAD,CVG,F9
1010930,9,388,CVG,IAD,F9
1011135,-5,758,IAD,MCO,F9
1011440,17,758,MCO,IAD,F9
1011725,49,901,IAD,FLL,F9
1012055,46,901,FLL,IAD,F9
1012255,43,2065,LAS,IAD,F9
1010820,-2,921,IAD,MIA,F9
1011150,-7,921,MIA,IAD,F9
1011510,-13,658,IAD,UST,F9
1011800,-5,658,UST,IAD,F9
1012055,-4,2065,IAD,LAS,F9
1011425,2,696,STL,IAD,F9
1011805,16,696,IAD,STL,F9
1011130,-8,1476,DEN,DCA,F9
1011725,8,1476,DCA,DEN,F9
1011250,66,589,ORD,IAD,F9
1011620,63,811,IAD,TPA,F9
1011930,110,811,TPA,IAD,F9
1012220,-974,589,IAD,ORD,F9
1011245,-8,1533,DEN,PHF,F9
1011840,-10,1533,PHF,DEN,F9
1010620,-11,908,IAD,MSP,F9
1010845,-7,908,MSP,IAD,F9
1011245,-4,534,IAD,ATL,F9
1011420,0,534,ATL,IAD,F9
1011650,6,891,IAD,RSW,F9
1012020,3,891,RSW,IAD,F9
1010745,-5,1476,DEN,DCA,F9
1011332,-9,1476,DCA,DEN,F9
1011650,-3,1476,DEN,DCA,F9
1010710,-2,1476,DCA,DEN,F9
1011415,161,305,CHO,LGA,MQ
1011225,122,305,LGA,CHO,MQ
1012105,11,642,ORD,RIC,MQ
1011000,26,642,RIC,ORD,MQ
1011310,57,642,ORD,RIC,MQ
1011630,39,642,RIC,ORD,MQ
1011530,-7,290,JFK,ORF,MQ
1011725,0,213,JFK,DCA,MQ
1011059,4,213,DCA,JFK,MQ
1010900,27,213,JFK,DCA,MQ
1011745,-1,802,ORF,MIA,MQ
1011950,-5,802,MIA,ORF,MQ
1010610,-1,825,RIC,MIA,MQ
1010931,-5,802,MIA,ORF,MQ
1011505,-1,213,DCA,JFK,MQ
1011305,-6,213,JFK,DCA,MQ
1010615,164,213,DCA,JFK,MQ
1011704,-4,277,RIC,EWR,EV
1010550,-2,1157,RIC,IAH,EV
1010610,-5,802,ORF,MIA,MQ
1010720,-1,717,ORF,ORD,OO
1011641,-7,277,EWR,RIC,EV
1012010,104,567,ORD,CHO,OO
1010815,-9,567,CHO,ORD,OO
1011730,-13,567,CHO,ORD,OO
1011420,7,567,ORD,CHO,OO
1010745,-2,612,DCA,ORD,OO
1011700,35,612,ORD,DCA,OO
1011940,-1,717,ORD,ORF,OO
1011245,-5,612,DCA,ORD,OO
1010800,0,612,ORD,DCA,OO
1012115,14,825,MIA,RIC,MQ
1011325,-4,290,ORF,JFK,MQ
1011255,-2,213,DCA,JFK,MQ
1011110,-6,213,JFK,DCA,MQ
1012358,-1366,1452,DEN,IAD,UA
1011700,4,4817,HNL,IAD,UA
1010855,80,4817,IAD,HNL,UA
1011510,6,1208,DCA,IAH,UA
1010910,-5,2419,IAD,SFO,UA
1010810,15,2253,IAD,SAN,UA
1011426,-6,2253,IAD,SAN,UA
1011357,-4,811,TPA,IAD,UA
1011720,14,1190,IAD,IAH,UA
1010811,-4,2327,PDX,IAD,UA
1012209,-3,758,IAD,MCO,UA
1011315,9,2306,SEA,IAD,UA
1011635,-3,2288,IAD,LAX,UA
1011700,16,2358,IAD,SMF,UA
1011615,-1,1452,IAD,DEN,UA
1011000,0,2419,SFO,IAD,UA
1010725,40,1956,PHX,IAD,UA
1091611,182,2288,LAX,IAD,UA
1010810,11,2306,IAD,SEA,UA
1012207,-6,413,IAD,BOS,UA
1011849,-13,811,TPA,IAD,UA
1011230,-4,2306,IAD,SEA,UA
1010725,13,1190,IAH,IAD,UA
1011926,3,413,BOS,IAD,UA
1011300,33,1190,IAH,IAD,UA
1011741,20,1452,DEN,IAD,UA
1011220,-3,2288,IAD,LAX,UA
1010849,-2,589,ORD,IAD,UA
1012210,-6,2288,IAD,LAX,UA
1011317,107,2253,SAN,IAD,UA
1010745,-3,2419,SFO,IAD,UA
1011515,-4,892,DCA,RSW,US
1011855,-8,892,RSW,DCA,US
1011340,12,1979,PHX,DCA,US
1011415,-4,857,DCA,PBI,US
1011745,-5,857,PBI,DCA,US
1010850,-9,814,TPA,DCA,US
1011130,-3,857,DCA,PBI,US
1011445,-9,857,PBI,DCA,US
1011640,-4,331,CLT,DCA,US
1010655,-10,257,RIC,CLT,US
1010659,-4,331,DCA,CLT,US
1010825,-5,892,RSW,DCA,US
1011730,-3,119,PHL,DCA,US
1011946,-3,331,CLT,DCA,US
1011155,-6,759,MCO,DCA,US
1012225,-8,290,CLT,ORF,US
1011535,-7,331,DCA,CLT,US
1011755,-4,892,DCA,RSW,US
1010940,1,331,CLT,DCA,US
1011135,43,331,CLT,DCA,US
1011305,-4,331,CLT,DCA,US
1011610,-8,814,DCA,TPA,US
1011920,-14,814,TPA,DCA,US
1011750,-2,331,CLT,DCA,US
1011945,-1,857,DCA,PBI,US
1011455,-2,331,CLT,DCA,US
1011515,-3,119,DCA,PHL,US
1011345,23,331,DCA,CLT,US
1011010,-7,899,DCA,FLL,US
1011330,-4,899,FLL,DCA,US
1011145,-10,814,DCA,TPA,US
1011450,-4,814,TPA,DCA,US
1011050,-7,331,DCA,CLT,US
1011750,-11,257,RIC,CLT,US
1011155,-3,759,DCA,MCO,US
1011459,4,759,MCO,DCA,US
1011520,-4,759,DCA,MCO,US
1011825,-12,759,MCO,DCA,US
1011755,-5,759,DCA,MCO,US
1011950,17,759,DCA,MCO,US
1011005,-6,759,DCA,MCO,US
1011315,-4,759,MCO,DCA,US
1011610,-3,257,CLT,RIC,US
1011515,-10,919,DCA,MIA,US
1012215,-5,331,CLT,DCA,US
1011159,-4,331,DCA,CLT,US
1012020,-9,290,CLT,ORF,US
1011725,-3,331,DCA,CLT,US
1010914,-4,290,CLT,ORF,US
1011755,-9,899,DCA,FLL,US
1010710,-4,290,ORF,CLT,US
1011205,-7,857,PBI,DCA,US
1011740,-6,814,DCA,TPA,US
1011100,-9,290,ORF,CLT,US
1011445,7,899,DCA,FLL,US
1011840,9,899,FLL,DCA,US
1010900,-9,290,ORF,CLT,US
1010925,-8,331,DCA,CLT,US
1011159,-6,899,FLL,DCA,US
1011750,-5,257,CLT,RIC,US
1011935,-14,257,RIC,CLT,US
1012015,-4,257,CLT,RIC,US
1012225,-3,257,CLT,RIC,US
1012000,-6,331,DCA,CLT,US
1010920,-6,257,RIC,CLT,US
1011130,-11,399,DCA,BOS,US
1011200,-2,399,BOS,DCA,US
1011430,-5,399,DCA,BOS,US
1011700,-6,399,BOS,DCA,US
1011930,-8,399,DCA,BOS,US
1011100,-13,214,LGA,DCA,US
1011300,-6,214,DCA,LGA,US
1011500,-7,214,LGA,DCA,US
1011800,-7,214,DCA,LGA,US
1010910,-3,811,TPA,IAD,UA
1010940,-5,1452,IAD,DEN,UA
1011150,32,1190,IAH,IAD,UA
1011017,-3,1208,IAH,DCA,UA
1011343,-4,2065,LAS,IAD,UA
1010957,37,1452,DEN,IAD,UA
1011901,-2,1452,IAD,DEN,UA
1010745,-6,2253,SAN,IAD,UA
1010801,-3,1208,DCA,IAH,UA
1011942,-1,2419,IAD,SFO,UA
1010840,127,2419,IAD,SFO,UA
1011140,-4,2419,SFO,IAD,UA
1010823,7,1452,DEN,IAD,UA
1162316,-1268,2288,LAX,IAD,UA
1011800,7,612,ORD,DCA,UA
1011436,-2,1452,IAD,DEN,UA
1011634,26,2419,IAD,SFO,UA
1011531,7,1452,DEN,IAD,UA
1011658,-2,589,IAD,ORD,UA
1011225,1,1452,IAD,DEN,UA
1010809,-2,2358,SMF,IAD,UA
1010935,-6,413,BOS,IAD,UA
1011220,8,2419,IAD,SFO,UA
1010742,-3,589,IAD,ORD,UA
1011250,6,1452,DEN,IAD,UA
1010811,-2,2065,IAD,LAS,UA
1011705,-6,413,IAD,BOS,UA
1011851,-7,2288,IAD,LAX,UA
1011056,42,1452,DEN,IAD,UA
1011710,1,1452,IAD,DEN,UA
1010535,6,1190,IAD,IAH,UA
1011455,-5,2419,SFO,IAD,UA
1031313,147,2288,LAX,IAD,UA
1111400,134,2288,LAX,IAD,AA
1122316,-1039,2288,LAX,IAD,UA
1010800,-8,2442,SFO,DCA,VX
1011700,1,2442,DCA,SFO,VX
1011000,-1,2419,IAD,SFO,VX
1011130,59,1184,DCA,DAL,VX
1011410,-4,1184,DAL,DCA,VX
1011845,-16,1184,DCA,DAL,VX
1011815,-5,2419,IAD,SFO,VX
1010920,-3,2419,SFO,IAD,VX
1012155,69,2419,SFO,IAD,VX
1011800,-4,1184,DAL,DCA,VX
1011445,-1,2419,SFO,IAD,VX
1011700,-2,2288,IAD,LAX,VX
1011930,-3,2288,IAD,LAX,VX
1012120,38,481,ATL,RIC,WN
1011425,-2,481,ATL,RIC,WN
1011240,-5,1315,AUS,DCA,WN
1011115,-4,562,BNA,DCA,WN
1011640,-3,562,BNA,DCA,WN
1011335,-1,159,BWI,ORF,WN
1012025,25,159,BWI,ORF,WN
1010905,-6,274,CAK,DCA,WN
1011000,14,1184,DAL,DCA,WN
1011945,35,1184,DAL,DCA,WN
1011245,31,1184,DAL,DCA,WN
1011815,17,1184,DAL,DCA,WN
1011420,10,1184,DAL,DCA,WN
1010800,-2,1184,DAL,DCA,WN
1011430,-5,547,DCA,ATL,WN
1011230,-5,547,DCA,ATL,WN
1011900,-8,547,DCA,ATL,WN
1011720,5,1315,DCA,AUS,WN
1010715,-5,562,DCA,BNA,WN
1011130,-4,562,DCA,BNA,WN
1011430,-4,562,DCA,BNA,WN
1012040,-7,274,DCA,CAK,WN
1011055,-2,1184,DCA,DAL,WN
1011630,-6,1184,DCA,DAL,WN
1010700,-5,1184,DCA,DAL,WN
1011325,-3,1184,DCA,DAL,WN
1010855,-1,1184,DCA,DAL,WN
1012000,-5,1184,DCA,DAL,WN
1011420,4,1218,DCA,HOU,WN
1011035,-4,1218,DCA,HOU,WN
1011100,-9,500,DCA,IND,WN
1011800,-5,500,DCA,IND,WN
1011535,-8,949,DCA,MCI,WN
1010955,-5,601,DCA,MDW,WN
1011605,0,601,DCA,MDW,WN
1011850,28,601,DCA,MDW,WN
1011200,-4,601,DCA,MDW,WN
1012055,-10,601,DCA,MDW,WN
1012155,-14,601,DCA,MDW,WN
1011435,-4,601,DCA,MDW,WN
1011705,8,634,DCA,MKE,WN
1010950,-5,634,DCA,MKE,WN
1011600,23,969,DCA,MSY,WN
1010925,-4,969,DCA,MSY,WN
1011100,-7,892,DCA,RSW,WN
1011805,-1,719,DCA,STL,WN
1011205,-2,719,DCA,STL,WN
1011845,-9,814,DCA,TPA,WN
1010850,51,814,DCA,TPA,WN
1011745,32,1452,DEN,IAD,WN
1011415,38,1452,DEN,IAD,WN
1011130,25,1218,HOU,DCA,WN
1011710,34,1218,HOU,DCA,WN
1011935,33,1218,HOU,DCA,WN
1011310,-4,1452,IAD,DEN,WN
1011905,-3,1452,IAD,DEN,WN
1011800,-3,2065,IAD,LAS,WN
1011120,-2,577,IAD,MDW,WN
1011955,16,577,IAD,MDW,WN
1011700,5,2253,IAD,SAN,WN
1010905,-3,500,IND,DCA,WN
1011555,-5,500,IND,DCA,WN
1011625,2,2065,LAS,IAD,WN
1011135,4,949,MCI,DCA,WN
1011755,8,655,MCO,ORF,WN
1011855,-2,667,MCO,RIC,WN
1012030,12,601,MDW,DCA,WN
1011115,-1,601,MDW,DCA,WN
1011920,26,601,MDW,DCA,WN
1011255,-3,601,MDW,DCA,WN
1010840,-2,601,MDW,DCA,WN
1011730,-3,601,MDW,DCA,WN
1011640,17,601,MDW,DCA,WN
1011355,6,577,MDW,IAD,WN
1011545,-5,577,MDW,IAD,WN
1011325,5,704,MDW,ORF,WN
1011405,-7,634,MKE,DCA,WN
1011745,29,634,MKE,DCA,WN
1011735,6,969,MSY,DCA,WN
1010800,-1,969,MSY,DCA,WN
1011345,20,547,ATL,DCA,WN
1012110,39,547,ATL,DCA,WN
1011640,28,547,ATL,DCA,WN
1011110,-3,547,ATL,DCA,WN
1011625,1,481,RIC,ATL,WN
1011220,0,481,RIC,ATL,WN
1010725,-1,667,RIC,MCO,WN
1011135,4,892,RSW,DCA,WN
1010945,5,2253,SAN,IAD,WN
1011910,1,719,STL,DCA,WN
1010815,-3,814,TPA,DCA,WN
1011615,7,814,TPA,DCA,WN
1011455,0,159,ORF,BWI,WN
1012015,3,159,ORF,BWI,WN
1010955,30,655,ORF,MCO,WN
1010855,-6,704,ORF,MDW,WN
1011347,1,2442,SFO,DCA,UA
1011603,0,1476,DCA,DEN,UA
1010805,0,1452,IAD,DEN,UA
1010820,3,1452,IAD,DEN,UA
1010830,9,2288,IAD,LAX,UA
1011725,4,2288,IAD,LAX,UA
1010948,15,589,IAD,ORD,UA
1011809,15,589,ORD,IAD,UA
1012200,-1,2419,IAD,SFO,UA
1011251,-2,589,IAD,ORD,UA
1011300,10,2419,SFO,IAD,UA
1010816,4,758,IAD,MCO,UA
1011231,17,758,IAD,MCO,UA
1012158,-3,811,IAD,TPA,UA
1172316,-1043,2288,LAX,IAD,UA
1010958,-6,642,RIC,ORD,UA
1011501,3,2288,IAD,LAX,UA
1010802,26,2419,IAD,SFO,UA
1011740,7,2419,IAD,SFO,UA
1011311,10,589,ORD,IAD,UA
1011839,72,642,ORD,RIC,UA
1100900,86,2288,LAX,IAD,UA
1011709,0,1190,IAH,IAD,UA
1011825,6,2253,IAD,SAN,UA
1011357,-2,758,MCO,IAD,UA
1011728,19,1208,DCA,IAH,UA
1011615,-7,589,ORD,IAD,UA
1011250,19,1208,IAH,DCA,UA
1161611,76,2288,LAX,IAD,UA
1010830,-1,1606,IAD,STT,UA
1011819,-4,1956,IAD,PHX,UA
1011414,-10,1606,STT,IAD,UA
1012230,24,2253,SAN,IAD,UA
1010810,-1,1571,IAD,SJU,UA
1010910,57,758,MCO,IAD,UA
1011120,67,1452,DEN,IAD,UA
1011729,10,2327,IAD,PDX,UA
1011900,41,1190,IAH,IAD,UA
1010808,4,1190,IAD,IAH,UA
