origin,destination,count,experience,travel_time,experience_score
DCA,PIT,1,-87,66,-1.318181818
DCA,RSW,122,-1254,18770,-0.066808737
DCA,SEA,58,611,20785,0.029396199
DCA,SFO,62,538,22192,0.02424297
DCA,SJU,31,-384,6645,-0.05778781
DCA,SLC,56,178,15918,0.011182309
DCA,STL,88,132,11317,0.011663869
DCA,TPA,243,-259,34088,-0.007597982
HSV,IAD,2,-16,206,-0.077669903
CAE,IAD,86,-1531,6844,-0.223699591
SEA,DCA,58,103,16501,0.006242046
SEA,IAD,40,-386,11219,-0.034405919
BDL,DCA,62,-546,5335,-0.102343018
BDL,IAD,76,-1893,6252,-0.302783109
BWI,ORF,89,-1126,4534,-0.248345831
TYS,IAD,17,-596,1333,-0.447111778
PIT,DCA,1,-15,85,-0.176470588
PIT,IAD,112,-1855,6500,-0.285384615
RIC,ATL,310,-740,32770,-0.02258163
RIC,BOS,192,-1880,15311,-0.122787538
RIC,CAE,1,-228,88,-2.590909091
RIC,CLT,110,-919,8559,-0.107372357
RIC,DFW,63,-121,12771,-0.009474591
RIC,DTW,53,80,5506,0.014529604
RIC,EWR,85,-2276,6209,-0.366564664
RIC,FLL,31,55,4281,0.012847466
RIC,IAD,26,90,1221,0.073710074
RIC,IAH,57,-1845,11513,-0.160253626
RIC,LGA,76,-2526,5353,-0.471884924
RIC,MCO,67,-907,8502,-0.106680781
RIC,MIA,5,26,759,0.034255599
RIC,MSP,27,-1234,4462,-0.276557597
RIC,ORD,171,-6201,22260,-0.278571429
DAY,IAD,2,-42,156,-0.269230769
PVD,IAD,62,-855,5704,-0.149894811
RDU,IAD,6,5,396,0.012626263
RDU,PHF,1,-30,50,-0.6
BTR,DCA,1,-12,140,-0.085714286
IAH,DCA,149,-166,24618,-0.006743034
IAH,IAD,128,-697,20955,-0.033261751
IAH,ORF,27,-215,4487,-0.047916202
IAH,RIC,57,-825,8954,-0.092137592
TPA,DCA,244,-1083,29848,-0.036283838
TPA,IAD,105,-611,12762,-0.047876508
PDX,DCA,31,349,8809,0.039618572
PDX,IAD,5,88,1361,0.064658339
STL,DCA,87,-619,8836,-0.070054323
STL,IAD,9,8,995,0.008040201
IAD,ATL,299,-2651,33423,-0.079316638
IAD,BDL,80,-1995,5869,-0.339921622
IAD,BNA,21,-621,2610,-0.237931034
IAD,BOS,125,-1591,9858,-0.161391763
IAD,BTV,6,-129,563,-0.229129663
IAD,BUF,27,-373,1953,-0.190988223
IAD,CAE,85,-1850,7595,-0.243581303
IAD,CHS,4,-131,445,-0.294382022
IAD,CLE,72,-974,5966,-0.163258465
IAD,CLT,4,-39,327,-0.119266055
IAD,CMH,27,-694,2243,-0.309407044
IAD,CVG,6,-72,589,-0.122241087
IAD,DAY,1,-68,88,-0.772727273
IAD,DEN,286,-3656,67459,-0.054195882
IAD,DFW,91,227,18784,0.012084753
IAD,DTW,37,-429,3619,-0.118541033
IAD,EWR,115,-2595,8179,-0.317275951
IAD,FLL,23,-462,3729,-0.123893805
IAD,GRR,4,-128,468,-0.273504274
IAD,GSO,46,-715,3068,-0.233050847
IAD,GSP,6,13,539,0.024118738
IAD,HDN,2,12,519,0.023121387
IAD,HNL,8,-134,5034,-0.026618991
IAD,HSV,2,-44,257,-0.171206226
IAD,IAH,143,-1927,28824,-0.066854011
IAD,IND,20,-236,2177,-0.108406063
IAD,JAC,1,-8,279,-0.028673835
IAD,JAX,12,-422,1609,-0.262274705
IAD,JFK,88,-1465,6396,-0.229049406
IAD,LAS,118,-739,36068,-0.020489076
IAD,LAX,301,-1104,100559,-0.010978629
IAD,LGA,104,-3039,7156,-0.424678591
IAD,MCI,4,-119,720,-0.165277778
IAD,MCO,164,-1592,22338,-0.07126869
IAD,MDW,62,-29,7096,-0.004086809
IAD,MEM,3,-18,440,-0.040909091
IAD,MIA,72,-1556,12691,-0.122606572
IAD,MSP,35,-523,5824,-0.089800824
IAD,OKC,5,-395,896,-0.440848214
IAD,ORD,144,-3499,18032,-0.194043922
IAD,ORF,47,-376,2754,-0.136528686
IAD,PBI,17,-130,2668,-0.048725637
IAD,PDX,5,-119,1798,-0.06618465
IAD,PHX,31,46,9195,0.005002719
IAD,PIT,114,-2247,6784,-0.331220519
IAD,PVD,61,-1512,4760,-0.317647059
IAD,RDU,6,-31,408,-0.075980392
IAD,RIC,25,-205,1195,-0.171548117
IAD,ROA,4,-179,307,-0.583061889
IAD,ROC,50,-1099,4086,-0.268967205
IAD,RSW,26,-486,4135,-0.117533253
IAD,SAN,85,261,28028,0.009312116
IAD,SAV,62,-1337,6598,-0.202637163
IAD,SDF,5,-80,572,-0.13986014
IAD,SEA,40,-551,14065,-0.039175258
IAD,SFO,276,-1825,94800,-0.019251055
IAD,SJU,18,-749,3954,-0.189428427
IAD,SMF,5,-20,1720,-0.011627907
IAD,STL,9,-350,1301,-0.269023828
IAD,STT,21,-500,4622,-0.108178278
IAD,SYR,15,8,1116,0.007168459
IAD,TPA,101,-721,14106,-0.051113002
IAD,TUL,5,-98,992,-0.098790323
IAD,TYS,17,-422,1516,-0.278364116
IAD,FLL,3,3,370,0.008108108
DFW,DCA,291,-3039,45640,-0.066586328
DFW,IAD,91,-766,14007,-0.054686942
DFW,ORF,57,-591,9035,-0.065412286
DFW,RIC,63,-650,9592,-0.067764804
JAX,DCA,62,-323,6138,-0.052623004
JAX,IAD,11,-23,1176,-0.019557823
CHO,ATL,85,73,8487,0.00860139
CHO,LGA,54,-1454,3680,-0.395108696
CHO,ORD,62,-2898,6767,-0.428254766
STT,IAD,21,-441,5276,-0.08358605
IND,DCA,62,240,5399,0.044452676
IND,IAD,14,117,1274,0.091836735
CHS,DCA,57,-1217,4376,-0.278107861
CHS,IAD,4,-125,367,-0.340599455
HOU,DCA,115,-1092,17881,-0.06107041
CLT,DCA,229,-786,16943,-0.04639084
CLT,IAD,9,-299,765,-0.390849673
CLT,ORF,79,12,4986,0.002406739
CLT,RIC,110,-352,6664,-0.052821128
EWR,DCA,136,-2290,8945,-0.256008944
EWR,IAD,109,-2411,7866,-0.306509026
EWR,ORF,51,-667,3449,-0.193389388
EWR,RIC,87,-2094,6189,-0.33834222
BNA,DCA,88,-77,7226,-0.010655965
BNA,IAD,22,126,2167,0.058144901
SJU,DCA,31,-469,6941,-0.067569514
SJU,IAD,18,-507,4236,-0.119688385
PBI,DCA,100,-871,13289,-0.06554293
PBI,IAD,17,-369,2356,-0.156621392
JAC,IAD,1,-28,248,-0.112903226
SLC,DCA,57,64,13237,0.004834932
MCO,DCA,304,-2616,36688,-0.071303969
MCO,IAD,163,-2453,20063,-0.122264866
MCO,ORF,31,-493,3189,-0.154593917
MCO,RIC,67,-635,7125,-0.089122807
BTV,IAD,7,-176,782,-0.225063939
MCI,DCA,31,-54,3807,-0.014184397
MCI,IAD,5,84,672,0.125
PHL,DCA,33,-690,1820,-0.379120879
MEM,IAD,3,27,322,0.083850932
BUF,IAD,25,5,1824,0.002741228
LGA,CHO,54,-1713,3939,-0.43488195
LGA,DCA,373,-6619,25906,-0.255500656
LGA,IAD,103,-2923,7505,-0.389473684
LGA,ORF,70,-1894,5261,-0.360007603
LGA,RIC,75,-2827,5351,-0.528312465
AUS,DCA,31,163,5300,0.030754717
PHF,ATL,137,-1124,15929,-0.070563124
PHF,DEN,3,-294,770,-0.381818182
CLE,DCA,120,720,8999,0.08000889
CLE,IAD,86,-295,6510,-0.0453149
MDW,DCA,267,-3380,23581,-0.143335736
MDW,IAD,62,-419,5629,-0.074435957
MDW,ORF,31,-504,3546,-0.14213198
SFO,DCA,62,-412,18554,-0.022205454
SFO,IAD,254,-2059,75011,-0.027449307
OKC,IAD,5,-53,781,-0.067861716
PHX,DCA,89,-880,22233,-0.039580803
PHX,IAD,31,437,7443,0.058712885
LAX,DCA,93,-119,27280,-0.00436217
LAX,IAD,295,-3044,83248,-0.036565443
ORF,ATL,191,1403,21249,0.066026637
ORF,BWI,89,-549,5058,-0.108540925
ORF,CLT,80,60,6706,0.008947211
ORF,DFW,57,66,12390,0.005326877
ORF,DTW,37,-152,4292,-0.035414725
ORF,EWR,51,-908,3696,-0.245670996
ORF,IAD,41,-41,2511,-0.016328156
ORF,IAH,27,62,5717,0.010844849
ORF,JFK,31,-47,2109,-0.022285443
ORF,LGA,50,-2007,3777,-0.531374106
ORF,MCO,31,-152,3679,-0.041315575
ORF,MDW,32,-732,4259,-0.171871331
ORF,MIA,61,-220,8776,-0.025068368
ORF,ORD,77,-1566,10574,-0.148099111
ORD,CHO,62,-3198,5883,-0.543600204
ORD,DCA,467,-8061,47485,-0.169758871
ORD,IAD,158,-3489,15902,-0.219406364
ORD,ORF,72,-1415,8579,-0.164937638
ORD,RIC,168,-5194,17452,-0.297616319
ORD,ROA,20,-465,1922,-0.241935484
RSW,DCA,124,-1080,16421,-0.065769442
RSW,IAD,26,-504,3550,-0.141971831
LAS,DCA,31,112,8079,0.013863102
LAS,IAD,117,-1044,29973,-0.034831348
